koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,koi_pdisposition,hier_labels_5,hier_labels_10,dbscan_labels_5
1,0,1,0,-0.0035193804287393126,FALSE POSITIVE,17,1,2
0,0,0,0,-0.08212286511173465,CANDIDATE,4,0,0
0,0,0,0,-0.08154607639412605,CANDIDATE,4,0,0
0,0,0,0,-0.07766877445909039,CANDIDATE,4,0,0
0,0,0,0,-0.05552649646644882,CANDIDATE,4,0,0
0,0,0,0,-0.08125768203532174,CANDIDATE,4,0,0
0,0,0,0,-0.07975162260601036,CANDIDATE,4,0,0
0,0,0,0,-0.08202673365879988,CANDIDATE,4,0,0
0,0,0,0,-0.08324439872930693,CANDIDATE,4,0,0
0,0,0,0,-0.05299503487249992,CANDIDATE,4,1,0
0,0,0,0,-0.04392663447898681,CANDIDATE,4,0,0
0,0,0,0,-0.08154607639412605,CANDIDATE,4,0,0
0,0,0,0,-0.06318496888358534,CANDIDATE,4,0,0
0,0,0,0,-0.08215490892937956,CANDIDATE,4,0,0
0,0,1,0,-0.028513558191779004,FALSE POSITIVE,8,1,1
1,0,1,1,-0.0809372438588725,FALSE POSITIVE,10,0,3
0,0,0,0,-0.08494272106448784,CANDIDATE,4,0,0
0,0,1,0,-0.042612837955544984,FALSE POSITIVE,8,1,1
0,0,0,0,-0.0810654191294522,CANDIDATE,4,0,0
0,0,0,0,-0.07949527206485099,CANDIDATE,4,0,0
0,0,0,0,-0.08084111240593773,CANDIDATE,4,0,0
0,0,0,0,-0.08090520004122757,CANDIDATE,4,0,0
0,0,0,0,-0.06068555110728137,CANDIDATE,4,0,0
0,0,0,0,-0.0645308092246721,CANDIDATE,4,0,0
1,0,1,0,-0.07545775104159072,FALSE POSITIVE,17,1,2
0,0,0,0,-0.07693176665325717,CANDIDATE,4,0,0
0,0,0,0,-0.07180475583006955,CANDIDATE,4,0,0
0,0,0,0,-0.08167425166470572,CANDIDATE,4,0,0
0,0,0,0,-0.08350074927046632,CANDIDATE,4,0,0
0,0,0,0,-0.07962344733543067,CANDIDATE,4,0,0
0,0,0,0,-0.08404549417043,CANDIDATE,4,0,0
0,0,0,0,-0.08391731889985031,CANDIDATE,4,0,0
0,0,0,0,-0.08417366944100971,CANDIDATE,4,0,0
0,0,1,0,-0.015952381674969308,FALSE POSITIVE,8,1,1
0,0,0,0,-0.08173833929999558,CANDIDATE,4,0,0
0,0,0,0,-0.06235182962481735,CANDIDATE,4,0,0
0,0,0,0,-0.08314826727637217,CANDIDATE,4,0,0
0,0,0,0,-0.08189855838822019,CANDIDATE,4,0,0
0,0,0,0,-0.08193060220586511,CANDIDATE,4,0,0
0,0,0,0,-0.08449410761745892,CANDIDATE,4,0,0
0,0,0,0,-0.0810654191294522,CANDIDATE,4,0,0
0,0,1,0,1.7968304701335962,FALSE POSITIVE,0,1,1
0,0,0,0,-0.08199468984115496,CANDIDATE,4,0,0
0,0,0,0,-0.0824753471058288,CANDIDATE,4,0,0
0,0,0,0,-0.08491067724684291,CANDIDATE,4,0,0
1,0,1,1,0.11453004377515583,FALSE POSITIVE,10,6,3
0,0,0,0,-0.07933505297662637,CANDIDATE,4,0,0
0,0,0,0,-0.08132176967061158,CANDIDATE,4,0,0
0,0,0,0,-0.07920687770604669,CANDIDATE,4,0,0
0,0,0,0,-0.0837570998116257,CANDIDATE,4,0,0
0,0,0,0,-0.0809372438588725,CANDIDATE,4,0,0
1,0,1,1,-0.07446439269459812,FALSE POSITIVE,10,1,3
0,0,0,0,-0.07494504995927197,CANDIDATE,4,0,0
0,0,1,0,-0.0203103408746788,FALSE POSITIVE,8,1,1
0,0,0,0,-0.050880142907935036,CANDIDATE,4,1,0
0,0,0,0,-0.0761306712121341,CANDIDATE,4,0,0
0,0,0,0,-0.07943118442956114,CANDIDATE,4,0,0
0,1,0,0,-0.08010410460010452,FALSE POSITIVE,1,0,5
0,0,0,0,-0.08388527508220539,CANDIDATE,4,0,0
0,0,0,0,-0.08394936271749524,CANDIDATE,4,0,0
0,0,0,0,-0.08532724687622692,CANDIDATE,4,0,0
0,0,0,0,-0.08529520305858199,CANDIDATE,4,0,0
0,0,0,0,-0.08161016402941589,CANDIDATE,4,0,0
0,0,1,0,-0.07619475884742395,FALSE POSITIVE,8,1,1
0,0,0,0,-0.05578284700760821,CANDIDATE,4,0,0
0,0,0,0,-0.06078168256021614,CANDIDATE,4,0,0
0,0,0,0,-0.07818147554140915,CANDIDATE,4,0,0
0,0,0,0,-0.04729123533170369,CANDIDATE,4,1,0
0,0,0,0,-0.0738555601593446,CANDIDATE,4,0,0
0,0,0,0,-0.0741439545181489,CANDIDATE,4,0,0
0,0,0,0,-0.06715840227155576,CANDIDATE,4,0,0
0,0,0,0,-0.08353279308811123,CANDIDATE,4,0,0
0,0,0,0,-0.08337257399988664,CANDIDATE,4,0,0
0,0,1,0,-0.08122563821767681,FALSE POSITIVE,8,0,1
0,0,1,0,-0.054372919031231606,FALSE POSITIVE,8,0,1
0,0,0,0,-0.07619475884742395,CANDIDATE,4,0,0
