koi_pdisposition,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,cluster
CANDIDATE,0,0,0,0,-0.08689739394082813,0
FALSE POSITIVE,0,1,0,0,-0.08141790112354635,7
CANDIDATE,0,0,0,0,-0.07798921263553962,0
CANDIDATE,0,0,0,0,-0.08763440174666134,0
CANDIDATE,0,0,0,0,-0.08494272106448784,0
FALSE POSITIVE,0,0,1,0,0.43974274905347616,1
CANDIDATE,0,0,0,0,-0.08430184471158939,0
FALSE POSITIVE,1,0,0,0,0.00676668503528087,4
FALSE POSITIVE,0,0,1,0,0.0629074535491854,1
CANDIDATE,0,0,0,0,-0.08651286812908905,0
CANDIDATE,0,0,0,0,-0.08558359741738629,0
FALSE POSITIVE,1,0,0,0,-0.08119359440003189,4
FALSE POSITIVE,1,1,0,1,-0.08449410761745892,9
FALSE POSITIVE,0,1,0,0,0.053999272243896904,7
FALSE POSITIVE,0,1,0,0,0.01301522947604079,7
CANDIDATE,0,0,0,0,-0.0872819197525672,0
FALSE POSITIVE,0,0,1,0,0.02496757345759695,1
FALSE POSITIVE,1,0,1,0,-0.08394936271749524,5
CANDIDATE,0,0,0,0,-0.08112950676474204,0
FALSE POSITIVE,1,0,1,1,0.11962501078069854,3
FALSE POSITIVE,0,0,1,0,-0.0799438855118799,1
CANDIDATE,0,0,0,0,-0.07702789810619194,0
CANDIDATE,0,0,0,0,-0.07943118442956114,0
FALSE POSITIVE,0,0,1,0,0.013431799105424781,1
FALSE POSITIVE,0,0,1,0,0.053326352073353525,1
CANDIDATE,0,0,0,0,-0.08023227987068421,0
FALSE POSITIVE,0,0,1,0,-0.08161016402941589,1
FALSE POSITIVE,1,0,1,1,-0.017939098368954517,3
CANDIDATE,0,0,0,0,-0.08526315924093707,0
FALSE POSITIVE,0,1,0,0,0.10517324902283842,7
FALSE POSITIVE,0,1,0,1,-0.01559989968087516,11
FALSE POSITIVE,1,0,0,0,-0.08404549417043,4
FALSE POSITIVE,1,0,0,1,-0.07497709377691689,2
FALSE POSITIVE,0,0,1,0,-0.045464737725943095,1
FALSE POSITIVE,0,1,0,0,-0.08529520305858199,7
FALSE POSITIVE,1,1,0,1,-0.08580790414090075,9
FALSE POSITIVE,1,0,1,0,-0.07859804517079315,5
FALSE POSITIVE,1,1,0,1,0.15157269697268644,9
