koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,koi_depth,koi_teq,koi_impact,koi_insol,koi_model_snr,koi_pdisposition,hier_labels_5,hier_labels_10,dbscan_labels_5
0,0,0,0,-0.08196264602351003,-0.3019350863620688,-0.08509919752197172,-0.4369817228729452,-0.0462454067200076,-0.2513312219688094,CANDIDATE,4,0,0
0,0,0,0,-0.02713567403304733,-0.30681262077931826,-0.4821473851743647,0.7468748483550746,-0.04768092380875063,-0.3326251686108601,CANDIDATE,4,0,0
0,0,0,0,-0.08769848938195118,-0.31308239260014137,0.15360239148333596,0.006642090310539331,-0.04443155189031518,-0.33854175861392055,CANDIDATE,4,0,0
0,0,0,0,-0.08096928767651743,-0.2803777482542012,-0.881558954896117,0.07757031625557326,-0.0480526915419958,-0.26482104717578725,CANDIDATE,4,0,0
0,0,0,0,-0.072445632182968,-0.2805094463869717,-0.15009220442935747,-0.2951252709828775,-0.046599240107897996,-0.08720501528391236,CANDIDATE,4,0,0
0,0,0,0,-0.07388760397698951,-0.27806715154979056,-0.3651599727410703,-0.09265742601250802,-0.04741451295580739,0.020476922771787975,CANDIDATE,4,0,0
0,0,0,0,-0.08327644254695186,-0.29901185816503834,-0.8851040280001563,-0.7580931457877349,-0.04805363857013334,-0.3049355273965371,CANDIDATE,4,0,0
0,0,0,0,-0.0833405301822417,-0.30096969201381374,-0.7728433797055809,0.011800506742905436,-0.04800764851620379,-0.31298208980069936,CANDIDATE,4,0,0
0,0,0,0,-0.0809372438588725,-0.30257711475932486,-0.5495037741511098,0.3406495543062443,-0.04779308745379116,-0.30647384079733286,CANDIDATE,4,0,0
0,0,0,0,-0.08026432368832913,-0.30612120558227324,-0.722030665214352,0.30067182695540695,-0.04797604145211321,-0.2497929085680137,CANDIDATE,4,0,0
1,0,1,0,-0.020406472327613563,-0.30482656590209206,-0.13000345683980186,0.7662189099764476,-0.046496901879784495,-0.30268722319537417,FALSE POSITIVE,17,1,2
0,0,0,0,0.014457201270062309,-0.294298946413752,0.4785674260202647,0.8268303030567492,-0.04006178649590494,-0.22624488035583307,CANDIDATE,4,0,0
0,0,0,0,-0.07946322824720606,-0.30350723282201636,0.3284926646159376,-0.7684099786524671,-0.0424002949137975,-0.27251261417976586,CANDIDATE,4,0,0
0,0,0,0,-0.07882235189430761,-0.3021796686086425,-0.13827529408256006,-0.7825956238414739,-0.04654478598998914,-0.287895748187723,CANDIDATE,4,0,0
0,0,0,0,-0.08116155058238697,-0.30014422693162734,-0.46205863758480903,-0.7696995827605586,-0.04764061592364636,-0.2925106883901102,CANDIDATE,4,0,0
0,0,0,0,-0.08189855838822019,-0.3024042609600636,-0.8886491011041955,-0.6768480869779688,-0.04805464478752948,-0.32505193340694266,CANDIDATE,4,0,0
0,0,0,0,-0.06574847429517916,-0.2415608994962883,-0.4596952555154496,-0.08878861368823344,-0.047636413486286,-0.02082087544957405,CANDIDATE,4,0,0
0,0,1,0,0.05979920323762789,-0.29011635482210385,0.9193381819558081,0.8371471359214814,-0.029091590118354858,-0.21559501835032427,FALSE POSITIVE,8,6,1
1,0,1,0,0.002152375294412,-0.3031050831665922,-0.31434725824984144,0.7687981181926307,-0.04726287007528293,-0.30363387759586385,FALSE POSITIVE,17,1,2
0,0,0,0,-0.08285987291756787,-0.30886217297055885,0.2245038535641204,-0.4911450954127893,-0.043688845073445205,-0.3028055549954354,CANDIDATE,4,0,0
0,0,0,0,-0.08058476186477835,-0.2980217704168889,-0.3899754844693449,0.2826173694421256,-0.047478259787315916,-0.2887240707881515,CANDIDATE,4,0,0
1,0,1,1,-0.0013083570112396436,-0.18439685461678823,0.8200761350427098,0.8242510948405661,-0.032068987393538986,0.005803779564198004,FALSE POSITIVE,10,6,3
0,0,0,0,-0.0646910283128967,-0.2458469681922561,-0.3899754844693449,0.38836490630563075,-0.04747802303028153,-0.13157944030686577,CANDIDATE,4,0,0
0,0,0,0,-0.08318031109401709,-0.2957793745312344,-0.922918141109908,-0.08105098903968429,-0.04806346398706037,-0.30718383159770013,CANDIDATE,4,0,0
0,0,0,0,-0.08359688072340109,-0.29695525071668505,-1.0269069521617251,-0.7813060197333823,-0.04807932670836426,-0.3180703572033313,CANDIDATE,4,0,0
