koi_pdisposition,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad
FALSE POSITIVE,1,1,0,0,47.75
CANDIDATE,0,0,0,0,2.59
CANDIDATE,0,0,0,0,6.57
CANDIDATE,0,0,0,0,2.28
CANDIDATE,0,0,0,0,2.41
CANDIDATE,0,0,0,0,1.52
CANDIDATE,0,0,0,0,3.08
CANDIDATE,0,0,0,0,1.92
CANDIDATE,0,0,0,0,2.45
CANDIDATE,0,0,0,0,3.67
FALSE POSITIVE,1,0,0,0,31.01
CANDIDATE,0,0,0,0,2.53
CANDIDATE,0,0,0,0,2.31
FALSE POSITIVE,0,0,1,0,15.61
FALSE POSITIVE,1,0,0,0,268.65
FALSE POSITIVE,1,0,1,0,14.49
FALSE POSITIVE,0,0,1,0,23.76
FALSE POSITIVE,1,0,1,1,5.67
FALSE POSITIVE,0,0,1,0,24.19
FALSE POSITIVE,1,0,1,0,23.6
CANDIDATE,0,0,0,0,8.19
FALSE POSITIVE,1,1,0,1,1.45
CANDIDATE,0,0,0,0,1.67
CANDIDATE,0,0,0,0,4.12
CANDIDATE,0,0,0,0,2.0
FALSE POSITIVE,1,0,0,1,12.93
CANDIDATE,0,0,0,0,2.36
CANDIDATE,0,0,0,0,0.68
CANDIDATE,0,0,0,0,2.8
FALSE POSITIVE,1,1,0,1,1.21
CANDIDATE,0,0,0,0,0.78
FALSE POSITIVE,0,0,1,0,0.76
FALSE POSITIVE,0,0,1,0,13.95
FALSE POSITIVE,0,0,1,0,22.36
FALSE POSITIVE,1,0,1,1,51.86
FALSE POSITIVE,1,0,1,0,33.01
FALSE POSITIVE,1,1,0,1,32.66
FALSE POSITIVE,1,0,1,1,9.73
FALSE POSITIVE,1,0,1,1,8.88
FALSE POSITIVE,0,0,1,0,27.21
CANDIDATE,0,0,0,0,2.83
CANDIDATE,0,0,0,0,2.32
CANDIDATE,0,0,0,0,0.86
CANDIDATE,0,0,0,0,2.19
CANDIDATE,0,0,0,0,2.58
CANDIDATE,0,0,0,0,6.39
CANDIDATE,0,0,0,0,32.6
CANDIDATE,0,0,0,0,1.5
CANDIDATE,0,0,0,0,1.79
CANDIDATE,0,0,0,0,4.68
CANDIDATE,0,0,0,0,1.72
CANDIDATE,0,0,0,0,1.98
CANDIDATE,0,0,0,0,2.09
CANDIDATE,0,0,0,0,1.76
CANDIDATE,0,0,0,0,2.96
CANDIDATE,0,0,0,0,11.64
FALSE POSITIVE,0,1,0,0,5.68
CANDIDATE,0,0,0,0,1.38
CANDIDATE,0,0,0,0,1.21
CANDIDATE,0,0,0,0,1.2
CANDIDATE,0,0,0,0,1.29
CANDIDATE,0,0,0,0,1.31
CANDIDATE,0,0,0,0,3.11
CANDIDATE,0,0,0,0,2.18
CANDIDATE,0,0,0,0,2.03
CANDIDATE,0,0,0,0,2.26
CANDIDATE,0,0,0,0,2.13
CANDIDATE,0,0,0,0,2.11
CANDIDATE,0,0,0,0,2.08
CANDIDATE,0,0,0,0,2.63
CANDIDATE,0,0,0,0,7.79
CANDIDATE,0,0,0,0,2.68
