koi_pdisposition,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,koi_depth,koi_teq,koi_impact,koi_insol,koi_model_snr
CANDIDATE,0,0,0,0,14.21,15179.0,552.0,0.881,21.87,561.1
CANDIDATE,0,0,0,0,2.47,908.1,850.0,0.348,123.03,59.4
CANDIDATE,0,0,0,0,8.2,1646.2,669.0,0.035,47.4,355.7
CANDIDATE,0,0,0,0,2.28,421.2,559.0,0.957,23.14,10.7
FALSE POSITIVE,0,0,1,0,19.02,5732.9,733.0,1.081,68.29,184.1
FALSE POSITIVE,1,0,1,1,2.66,1159.8,667.0,0.23,46.94,51.7
CANDIDATE,0,0,0,0,1.41,315.8,1160.0,0.128,427.17,30.7
FALSE POSITIVE,0,0,1,0,14.62,33004.0,901.0,0.211,155.89,1630.4
CANDIDATE,0,0,0,0,2.62,781.2,1221.0,0.026,526.23,64.8
CANDIDATE,0,0,0,0,3.11,1154.0,1038.0,0.196,274.84,86.1
CANDIDATE,0,0,0,0,2.69,840.9,622.0,0.383,35.44,37.8
CANDIDATE,0,0,0,0,2.67,569.1,791.0,0.9,92.46,21.1
CANDIDATE,0,0,0,0,8.98,7430.5,366.0,0.076,4.25,223.5
CANDIDATE,0,0,0,0,7.78,1141.7,426.0,0.812,7.8,139.3
FALSE POSITIVE,1,0,1,0,4.37,1014.3,1355.0,0.965,797.1,58.3
CANDIDATE,0,0,0,0,3.91,1843.5,562.0,0.03,23.54,88.0
CANDIDATE,0,0,0,0,5.51,3644.3,450.0,0.183,9.67,155.5
CANDIDATE,0,0,0,0,2.43,702.3,926.0,0.209,173.74,59.3
CANDIDATE,0,0,0,0,1.86,391.6,1253.0,0.479,583.01,41.4
CANDIDATE,0,0,0,0,3.07,1772.5,521.0,0.036,17.48,62.4
CANDIDATE,0,0,0,0,1.69,488.2,998.0,0.06,234.93,30.5
CANDIDATE,0,0,0,0,1.73,961.4,585.0,0.17,27.72,62.8
CANDIDATE,0,0,0,0,1.65,881.3,509.0,0.008,15.9,51.8
FALSE POSITIVE,0,0,1,0,22.94,42450.0,723.0,0.897,64.64,307.5
CANDIDATE,0,0,0,0,2.41,218.5,742.0,0.95,71.57,18.5
CANDIDATE,0,0,0,0,8.46,7425.9,495.0,0.67,14.22,247.9
CANDIDATE,0,0,0,0,1.97,450.7,845.0,0.429,120.48,29.2
CANDIDATE,0,0,0,0,2.36,451.6,1174.0,0.025,449.79,39.7
CANDIDATE,0,0,0,0,2.35,755.9,896.0,0.567,152.91,60.8
CANDIDATE,0,0,0,0,1.55,353.6,667.0,0.387,46.65,21.9
CANDIDATE,0,0,0,0,2.62,2260.0,595.0,0.705,29.68,157.8
FALSE POSITIVE,0,0,1,0,588.66,20285.0,853.0,7.361,125.22,192.3
CANDIDATE,0,0,0,0,2.33,1410.7,635.0,0.327,38.52,87.2
CANDIDATE,0,0,0,0,2.18,1250.6,502.0,0.286,15.06,57.6
CANDIDATE,0,0,0,0,1.42,439.0,418.0,0.706,7.24,14.9
FALSE POSITIVE,1,0,1,1,63.66,401.1,1399.0,1.223,904.92,76.8
CANDIDATE,0,0,0,0,3.16,1200.7,487.0,0.926,13.34,53.3
CANDIDATE,0,0,0,0,2.54,298.5,1145.0,0.833,406.25,125.6
CANDIDATE,0,0,0,0,3.2,1254.9,720.0,0.537,63.68,64.5
CANDIDATE,0,0,0,0,1.78,299.2,992.0,0.836,229.37,15.0
CANDIDATE,0,0,0,0,2.66,549.4,1139.0,0.899,398.0,45.1
FALSE POSITIVE,1,0,1,1,4.68,1590.7,878.0,0.942,140.57,60.4
CANDIDATE,0,0,0,0,4.53,3136.4,236.0,0.731,0.73,46.8
FALSE POSITIVE,0,0,1,0,21.58,24905.0,1109.0,1.091,357.16,125.4
CANDIDATE,0,0,0,0,12.04,37492.0,929.0,0.001,175.76,1011.6
CANDIDATE,0,0,0,0,4.16,3036.1,686.0,0.049,52.32,175.2
CANDIDATE,0,0,0,0,3.13,507.3,927.0,0.0,174.81,142.0
FALSE POSITIVE,0,1,0,0,2.92,1382.4,530.0,0.497,18.65,52.7
CANDIDATE,0,0,0,0,1.74,516.3,970.0,0.252,209.79,41.6
CANDIDATE,0,0,0,0,1.72,1333.6,453.0,0.192,9.9,48.5
CANDIDATE,0,0,0,0,1.29,759.2,395.0,0.014,5.74,31.0
CANDIDATE,0,0,0,0,1.3,767.3,328.0,0.228,2.74,18.2
CANDIDATE,0,0,0,0,2.45,620.5,905.0,0.712,158.11,50.4
FALSE POSITIVE,0,0,1,0,4.14,1823.5,1620.0,0.908,1635.2,147.4
CANDIDATE,0,0,0,0,10.51,16053.0,770.0,0.069,83.21,388.2
CANDIDATE,0,0,0,0,8.95,6911.1,986.0,0.018,223.19,435.9
CANDIDATE,0,0,0,0,3.52,936.1,876.0,0.862,139.21,71.9
CANDIDATE,0,0,0,0,13.16,9065.2,911.0,0.075,163.04,915.7
CANDIDATE,0,0,0,0,4.87,6465.7,432.0,0.811,8.22,210.5
CANDIDATE,0,0,0,0,4.78,7958.7,226.0,0.658,0.62,182.1
CANDIDATE,0,0,0,0,6.96,6932.3,998.0,0.344,234.28,431.4
CANDIDATE,0,0,0,0,1.85,724.2,931.0,0.69,177.19,42.6
CANDIDATE,0,0,0,0,1.9,942.5,400.0,0.063,6.04,25.4
FALSE POSITIVE,0,0,1,0,2.57,252.1,1008.0,0.008,244.3,60.2
FALSE POSITIVE,0,0,1,0,10.95,12861.0,1101.0,0.028,347.06,85.8
CANDIDATE,0,0,0,0,4.14,2590.7,598.0,0.043,30.14,123.8
CANDIDATE,0,0,0,0,2.96,1328.5,819.0,0.03,106.44,86.2
CANDIDATE,0,0,0,0,13.12,14281.0,1497.0,0.437,1183.18,1072.1
CANDIDATE,0,0,0,0,2.23,1897.8,460.0,0.09,10.59,58.0
CANDIDATE,0,0,0,0,1.66,1037.4,569.0,0.351,24.75,41.4
CANDIDATE,0,0,0,0,2.48,366.0,771.0,0.02,83.56,114.9
CANDIDATE,0,0,0,0,2.25,1432.1,362.0,0.886,4.05,36.9
CANDIDATE,0,0,0,0,1.16,807.6,429.0,0.334,8.01,44.4
CANDIDATE,0,0,0,0,0.91,509.2,554.0,0.001,22.19,37.8
CANDIDATE,0,0,0,0,1.11,756.1,332.0,0.115,2.86,30.9
CANDIDATE,0,0,0,0,4.56,1309.7,833.0,0.791,113.75,46.2
CANDIDATE,0,0,0,0,2.85,538.6,1182.0,0.93,461.07,36.4
CANDIDATE,0,0,0,0,3.43,685.4,401.0,0.964,6.09,15.4
CANDIDATE,0,0,0,0,2.34,1675.6,499.0,0.21,14.66,64.5
CANDIDATE,0,0,0,0,1.18,362.3,587.0,0.644,28.06,14.2
CANDIDATE,0,0,0,0,10.55,17859.0,1016.0,0.093,251.48,1669.1
CANDIDATE,0,0,0,0,1.87,581.6,1010.0,0.649,246.29,48.1
