koi_pdisposition,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,cluster
CANDIDATE,0,0,0,0,-0.08039249895890882,2
CANDIDATE,0,0,0,0,-0.08359688072340109,2
FALSE POSITIVE,0,1,0,0,-0.07279811417706215,4
CANDIDATE,0,0,0,0,-0.08632060522321952,2
CANDIDATE,0,0,0,0,-0.051264668719674104,2
FALSE POSITIVE,0,0,1,0,-0.0203103408746788,0
CANDIDATE,0,0,1,0,0.0032739089119842987,0
FALSE POSITIVE,0,0,1,0,0.09466287683530378,0
CANDIDATE,0,0,0,0,-0.08660899958202382,2
CANDIDATE,0,0,0,0,-0.07177271201242462,2
CANDIDATE,0,0,0,0,-0.08372505599398078,2
CANDIDATE,0,0,0,0,-0.0816422078470608,2
CANDIDATE,0,0,0,0,-0.08282782909992294,2
CANDIDATE,0,0,0,0,-0.08183447075293035,2
CANDIDATE,0,0,0,0,-0.08638469285850936,2
CANDIDATE,0,0,0,0,-0.08523111542329215,2
CANDIDATE,0,0,0,0,-0.0826355661940534,2
FALSE POSITIVE,0,0,1,0,1.193573559150282,0
FALSE POSITIVE,0,1,0,0,-0.0823471718352491,4
FALSE POSITIVE,1,0,1,0,-0.0796554911530756,7
CANDIDATE,0,0,0,0,0.02605706325752431,2
CANDIDATE,0,0,0,0,-0.08391731889985031,2
FALSE POSITIVE,1,0,1,0,0.007856174835208242,7
FALSE POSITIVE,1,0,1,0,-0.08289191673521279,7
FALSE POSITIVE,1,0,1,0,-0.03700516986768351,7
FALSE POSITIVE,1,0,0,0,-0.0860001670467703,3
CANDIDATE,0,0,0,0,-0.0865769557643789,2
FALSE POSITIVE,0,0,1,0,0.017565451581619804,0
FALSE POSITIVE,1,0,0,1,-0.08625651758792967,5
FALSE POSITIVE,0,0,1,0,0.2249850831972043,0
FALSE POSITIVE,1,0,1,1,-0.06090985783079583,8
CANDIDATE,0,0,0,0,-0.0803604551412639,2
FALSE POSITIVE,0,1,0,0,0.06483008260788076,4
FALSE POSITIVE,0,1,0,0,0.3415284479717881,4
CANDIDATE,0,0,0,0,-0.08462228288803861,2
FALSE POSITIVE,0,0,1,0,0.09511149028233269,0
CANDIDATE,0,0,0,0,-0.08567972887032106,2
CANDIDATE,0,0,0,0,-0.08491067724684291,2
CANDIDATE,0,0,0,0,-0.08337257399988664,2
FALSE POSITIVE,0,0,1,0,0.10187273580541138,0
FALSE POSITIVE,1,0,0,1,-0.08763440174666134,5
FALSE POSITIVE,0,0,1,0,0.035702252368646055,0
CANDIDATE,0,0,0,0,-0.08225104038231433,2
CANDIDATE,0,0,0,0,-0.08712170066434258,2
CANDIDATE,0,0,0,0,-0.07581023303568489,2
CANDIDATE,0,0,0,0,-0.0872819197525672,2
FALSE POSITIVE,0,0,1,0,1.7840449868932722,6
CANDIDATE,0,0,0,0,0.005613107600063656,2
CANDIDATE,0,0,0,0,-0.07609862739448918,2
CANDIDATE,0,0,0,0,-0.06539599230108502,2
CANDIDATE,0,0,0,0,-0.0823471718352491,2
FALSE POSITIVE,0,0,0,1,-0.08632060522321952,5
CANDIDATE,0,0,0,0,-0.0851670277880023,2
CANDIDATE,0,0,0,0,-0.0872819197525672,2
CANDIDATE,0,0,0,0,-0.08253943474111863,2
FALSE POSITIVE,0,0,1,0,-0.054469050484166365,0
CANDIDATE,0,0,0,0,-0.08398140653514016,2
FALSE POSITIVE,0,0,1,0,0.12667465066258154,0
FALSE POSITIVE,0,1,0,0,-0.08193060220586511,4
CANDIDATE,0,0,0,0,-0.05120058108438426,2
FALSE POSITIVE,0,0,1,0,-0.00903091706366601,0
CANDIDATE,0,0,0,0,-0.061070076919020444,2
CANDIDATE,0,0,0,0,-0.08295600437050263,2
FALSE POSITIVE,1,1,0,0,0.34450852301276597,3
FALSE POSITIVE,1,1,0,0,-0.0867051310349586,3
CANDIDATE,0,0,0,0,-0.08481454579390815,2
CANDIDATE,0,0,0,0,-0.07907870243546698,2
CANDIDATE,0,0,0,0,-0.0813538134882565,2
FALSE POSITIVE,1,0,1,1,-0.08039249895890882,8
CANDIDATE,0,0,0,0,-0.07997592932952483,2
CANDIDATE,0,0,0,0,-0.08561564123503122,2
CANDIDATE,0,0,0,0,-0.08606425468206014,2
CANDIDATE,0,0,0,0,-0.08465432670568354,2
CANDIDATE,0,0,0,0,-0.066229131559853,2
FALSE POSITIVE,0,1,0,0,0.09299659831776778,4
FALSE POSITIVE,1,1,0,0,-0.08596812322912536,3
CANDIDATE,0,0,0,0,-0.014318146975078258,2
