koi_pdisposition,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,cluster
CANDIDATE,0,0,0,0,1.57,0
CANDIDATE,0,0,0,0,2.3,0
CANDIDATE,0,0,0,0,3.18,0
CANDIDATE,0,0,0,0,10.43,0
FALSE POSITIVE,1,0,1,0,23.88,2
CANDIDATE,0,0,0,0,4.09,0
CANDIDATE,0,0,0,0,2.58,0
CANDIDATE,0,0,0,0,3.05,0
CANDIDATE,0,0,0,0,5.5,0
CANDIDATE,0,0,0,0,5.22,0
CANDIDATE,0,0,0,0,4.0,0
CANDIDATE,0,0,0,0,1.94,0
CANDIDATE,0,0,0,0,2.13,0
CANDIDATE,0,0,0,0,1.24,0
CANDIDATE,0,0,0,0,10.62,0
CANDIDATE,0,0,0,0,2.74,0
CANDIDATE,0,0,0,0,3.12,0
CANDIDATE,0,0,0,0,1.45,0
CANDIDATE,0,0,0,0,1.78,0
CANDIDATE,0,0,0,0,39.0,0
CANDIDATE,0,0,0,0,3.43,0
CANDIDATE,0,0,0,0,43.17,0
CANDIDATE,0,0,0,0,2.07,0
CANDIDATE,0,0,0,0,7.12,0
CANDIDATE,0,0,0,0,2.32,0
CANDIDATE,0,0,0,0,1.32,0
CANDIDATE,0,0,0,0,1.84,0
FALSE POSITIVE,0,0,1,0,59.56,1
FALSE POSITIVE,0,0,1,0,23.6,1
FALSE POSITIVE,0,1,0,0,5.06,5
FALSE POSITIVE,0,0,1,0,13.66,1
FALSE POSITIVE,0,0,1,0,34.39,1
CANDIDATE,0,0,0,0,133.56,0
FALSE POSITIVE,1,0,1,0,23.61,2
FALSE POSITIVE,1,0,0,1,27.85,7
FALSE POSITIVE,1,0,0,0,23.35,4
FALSE POSITIVE,0,0,1,0,403.59,1
CANDIDATE,0,0,0,0,7.67,0
FALSE POSITIVE,1,0,1,0,1.25,2
FALSE POSITIVE,1,0,0,0,7.47,4
CANDIDATE,0,0,0,0,2.47,0
CANDIDATE,0,0,0,0,1.62,0
FALSE POSITIVE,1,1,0,0,17.12,6
CANDIDATE,0,0,0,0,13.92,0
FALSE POSITIVE,1,1,0,1,3.22,8
FALSE POSITIVE,1,0,0,1,1.19,7
CANDIDATE,0,0,0,0,1.78,0
CANDIDATE,0,0,0,0,8.78,0
CANDIDATE,0,0,0,0,8.25,0
FALSE POSITIVE,1,0,1,1,7.48,3
FALSE POSITIVE,0,1,0,0,2.78,5
CANDIDATE,0,0,0,0,2.52,0
CANDIDATE,0,0,0,0,1.69,0
FALSE POSITIVE,0,0,1,0,78.54,1
FALSE POSITIVE,1,0,0,0,14.71,4
FALSE POSITIVE,1,0,1,1,1.45,3
CANDIDATE,0,0,0,0,1.41,0
CANDIDATE,0,0,0,0,2.01,0
FALSE POSITIVE,1,0,1,1,67.37,3
CANDIDATE,0,0,0,0,5.88,0
CANDIDATE,0,0,0,0,7.62,0
CANDIDATE,0,0,0,0,1.59,0
FALSE POSITIVE,1,0,0,1,1.81,7
CANDIDATE,0,0,0,0,5.24,0
FALSE POSITIVE,0,0,1,0,25.89,1
FALSE POSITIVE,0,0,1,0,16.91,1
FALSE POSITIVE,1,0,1,1,56.44,3
FALSE POSITIVE,0,0,1,0,11.36,1
FALSE POSITIVE,0,1,0,1,33.65,9
CANDIDATE,0,0,0,0,430.99,-1
FALSE POSITIVE,0,1,0,0,71.39,5
FALSE POSITIVE,0,0,1,0,2436.69,-1
FALSE POSITIVE,0,0,1,0,68.02,1
FALSE POSITIVE,1,0,1,1,1.56,3
FALSE POSITIVE,0,1,0,0,12.1,5
CANDIDATE,0,0,0,0,2.54,0
CANDIDATE,0,0,0,0,1.67,0
CANDIDATE,0,0,0,0,2.39,0
CANDIDATE,0,0,0,0,2.39,0
CANDIDATE,0,0,0,0,1.54,0
CANDIDATE,0,0,0,0,2.33,0
CANDIDATE,0,0,0,0,2.48,0
CANDIDATE,0,0,0,0,2.73,0
FALSE POSITIVE,1,0,0,1,25.2,7
CANDIDATE,0,0,0,0,2.03,0
FALSE POSITIVE,1,0,1,0,8.96,2
FALSE POSITIVE,1,0,1,1,5.09,3
FALSE POSITIVE,1,0,1,1,19.0,3
FALSE POSITIVE,1,0,1,0,97.27,2
FALSE POSITIVE,1,0,1,0,34.14,2
CANDIDATE,0,0,0,0,7.14,0
CANDIDATE,0,0,0,0,2.29,0
FALSE POSITIVE,1,0,0,0,1.42,4
CANDIDATE,0,0,0,0,1.92,0
CANDIDATE,0,0,0,0,1.75,0
CANDIDATE,0,0,0,0,1.67,0
FALSE POSITIVE,1,0,1,1,38.6,3
FALSE POSITIVE,1,0,0,1,0.98,7
FALSE POSITIVE,1,0,1,0,40.15,2
CANDIDATE,0,0,0,0,1.68,0
CANDIDATE,0,0,0,0,3.51,0
CANDIDATE,0,0,0,0,2.67,0
FALSE POSITIVE,0,0,0,1,0.65,10
CANDIDATE,0,0,0,0,10.4,0
CANDIDATE,0,0,0,0,2.01,0
FALSE POSITIVE,1,0,0,0,1.57,4
CANDIDATE,0,0,0,0,1.23,0
CANDIDATE,0,0,0,0,3.63,0
CANDIDATE,0,0,0,0,1.21,0
CANDIDATE,0,0,0,0,2.18,0
CANDIDATE,0,0,0,0,2.82,0
FALSE POSITIVE,1,0,0,1,2.92,7
CANDIDATE,0,0,0,0,12.14,0
CANDIDATE,0,0,0,0,5.85,0
CANDIDATE,0,0,0,0,1.14,0
CANDIDATE,0,0,0,0,2.98,0
CANDIDATE,0,0,0,0,1.7,0
CANDIDATE,0,0,0,0,2.96,0
FALSE POSITIVE,1,0,0,0,0.62,4
FALSE POSITIVE,0,0,1,0,20.06,1
FALSE POSITIVE,0,0,1,0,53.25,1
FALSE POSITIVE,1,0,1,0,35.27,2
FALSE POSITIVE,0,0,1,0,32.11,1
FALSE POSITIVE,1,0,1,1,37.47,3
CANDIDATE,0,0,0,0,2.28,0
CANDIDATE,0,0,0,0,1.01,0
CANDIDATE,0,0,0,0,1.16,0
CANDIDATE,0,0,0,0,3.39,0
CANDIDATE,0,0,0,0,3.7,0
CANDIDATE,0,0,0,0,1.62,0
CANDIDATE,0,0,0,0,2.41,0
CANDIDATE,0,0,0,0,1.75,0
CANDIDATE,0,0,0,0,1.74,0
FALSE POSITIVE,1,0,1,1,6.85,3
CANDIDATE,0,0,0,0,2.02,0
FALSE POSITIVE,1,0,1,0,2.02,2
FALSE POSITIVE,0,0,1,0,102.08,1
CANDIDATE,0,0,0,0,67.35,0
FALSE POSITIVE,1,0,1,1,65.25,3
CANDIDATE,0,0,0,0,1.85,0
FALSE POSITIVE,0,0,1,0,5.33,1
FALSE POSITIVE,1,0,1,1,3.6,3
CANDIDATE,0,0,0,0,2.26,0
FALSE POSITIVE,0,0,1,0,26.67,1
FALSE POSITIVE,1,0,1,0,21.81,2
FALSE POSITIVE,1,0,1,0,67.17,2
FALSE POSITIVE,0,1,0,1,23.05,9
CANDIDATE,0,0,0,0,3.29,0
CANDIDATE,0,0,0,0,1.45,0
CANDIDATE,0,0,0,0,2.12,0
FALSE POSITIVE,1,0,1,1,22.32,3
FALSE POSITIVE,1,0,1,1,24.6,3
FALSE POSITIVE,0,0,1,0,27.36,1
FALSE POSITIVE,0,0,1,0,16.94,1
CANDIDATE,0,0,0,0,9.29,0
FALSE POSITIVE,0,0,1,0,49.82,1
FALSE POSITIVE,1,0,1,1,14.35,3
CANDIDATE,0,0,0,0,2.86,0
CANDIDATE,0,0,0,0,1.39,0
CANDIDATE,0,0,0,0,1.19,0
CANDIDATE,0,0,0,0,1.16,0
CANDIDATE,0,0,0,0,1.48,0
FALSE POSITIVE,0,0,1,0,20.05,1
FALSE POSITIVE,1,0,0,1,13.63,7
FALSE POSITIVE,1,0,0,1,3.32,7
FALSE POSITIVE,1,0,1,0,19.51,2
CANDIDATE,0,0,0,0,3.42,0
CANDIDATE,0,0,0,0,2.2,0
CANDIDATE,0,0,0,0,3.02,0
FALSE POSITIVE,0,0,1,0,36.14,1
CANDIDATE,0,0,0,0,2.54,0
CANDIDATE,0,0,0,0,2.18,0
FALSE POSITIVE,1,0,0,0,0.82,4
CANDIDATE,0,0,0,0,3.71,0
CANDIDATE,0,0,0,0,1.56,0
CANDIDATE,0,0,0,0,5.11,0
CANDIDATE,0,0,0,0,2.98,0
CANDIDATE,0,0,0,0,4.75,0
FALSE POSITIVE,1,0,1,1,37.15,3
CANDIDATE,0,0,0,0,2.63,0
FALSE POSITIVE,1,1,0,1,29.55,8
FALSE POSITIVE,1,1,0,0,43.98,6
CANDIDATE,0,0,0,0,2.73,0
CANDIDATE,0,0,0,0,4.14,0
CANDIDATE,0,0,0,0,2.0,0
CANDIDATE,0,0,0,0,5.99,0
CANDIDATE,0,0,0,0,3.42,0
CANDIDATE,0,0,0,0,1.17,0
FALSE POSITIVE,0,0,1,0,40.35,1
FALSE POSITIVE,1,0,1,1,4.86,3
CANDIDATE,0,0,0,0,5.17,0
FALSE POSITIVE,1,0,0,1,1.29,7
CANDIDATE,0,0,0,0,1.95,0
FALSE POSITIVE,1,0,1,1,1.25,3
